simulation_idx,step_idx,mse,scale
2,59,3.110318721155636e-05,1
2,60,3.1746458262205124e-05,1
2,61,3.270472734584473e-05,1
2,62,3.358328467584215e-05,1
2,63,3.376877793925814e-05,1
2,64,3.467814531177282e-05,1
2,65,3.481181192910299e-05,1
2,66,3.479875158518553e-05,1
2,67,3.503742118482478e-05,1
2,68,3.5648830817081034e-05,1
2,69,3.6174456909066066e-05,1
2,70,3.6239918699720874e-05,1
2,71,3.646471304818988e-05,1
2,72,3.664274117909372e-05,1
2,73,3.6964513128623366e-05,1
2,74,3.600615309551358e-05,1
2,75,3.5642962757265195e-05,1
2,76,3.580317570595071e-05,1
2,77,3.5939912777394056e-05,1
2,78,3.595211455831304e-05,1
2,79,3.550791007000953e-05,1
2,80,3.474095501587726e-05,1
2,81,3.403939990676008e-05,1
2,82,3.314214700367302e-05,1
2,83,3.272249523433857e-05,1
2,84,3.2708812796045095e-05,1
2,85,3.268110958742909e-05,1
2,86,3.259472214267589e-05,1
2,87,3.276193092460744e-05,1
2,88,3.2448235288029537e-05,1
2,89,3.3885047741932794e-05,1
2,90,3.44181498803664e-05,1
2,91,3.527423905325122e-05,1
2,92,3.608790575526655e-05,1
2,93,3.581807322916575e-05,1
2,94,3.534111237968318e-05,1
2,95,3.5321270843269303e-05,1
2,96,3.5278175346320495e-05,1
2,97,3.603148434194736e-05,1
2,98,3.6044366424903274e-05,1
2,99,3.616495450842194e-05,1
3,0,2.6430501748109236e-05,1
3,1,2.706312807276845e-05,1
3,2,2.7916879844269715e-05,1
3,3,2.8396698326105252e-05,1
3,4,2.892856537073385e-05,1
3,5,2.9995106160640717e-05,1
3,6,3.132987330900505e-05,1
3,7,3.214142634533346e-05,1
3,8,3.230894435546361e-05,1
3,9,3.19812934321817e-05,1
3,10,3.216815457562916e-05,1
3,11,3.201017898391001e-05,1
3,12,3.224204556318e-05,1
3,13,3.2054140319814906e-05,1
3,14,3.102210757788271e-05,1
3,15,3.0618117307312787e-05,1
3,16,3.020007352461107e-05,1
3,17,2.9889473807998e-05,1
3,18,2.9226841434137896e-05,1
3,19,2.855674574675504e-05,1
3,20,2.8885149731650017e-05,1
3,21,2.8273285352042876e-05,1
3,22,2.87825423583854e-05,1
3,23,2.8910948458360508e-05,1
3,24,2.8854890842922032e-05,1
3,25,2.860141648852732e-05,1
3,26,2.833765211107675e-05,1
3,27,2.8352491426630877e-05,1
3,28,2.880427746276837e-05,1
3,29,2.9036635169177316e-05,1
3,30,2.8544152883114293e-05,1
3,31,2.852599209290929e-05,1
3,32,2.8539176128106192e-05,1
3,33,2.8302150894887745e-05,1
3,34,2.757902620942332e-05,1
3,35,2.7316646082908846e-05,1
3,36,2.658169250935316e-05,1
3,37,2.5721490601426922e-05,1
3,38,2.531394420657307e-05,1
3,39,2.4953036700026132e-05,1
3,40,2.443093399051577e-05,1
3,41,2.430020504107233e-05,1
3,42,2.4543025574530475e-05,1
3,43,2.372931885474827e-05,1
3,44,2.2698568500345573e-05,1
3,45,2.2136036932352e-05,1
3,46,2.1968660803395323e-05,1
3,47,2.1664303858415224e-05,1
3,48,2.1037791157141328e-05,1
3,49,2.0762125132023357e-05,1
3,50,2.0840981960645877e-05,1
3,51,2.237501939816866e-05,1
3,52,2.3317070372286253e-05,1
3,53,2.405653322057333e-05,1
3,54,2.5382614694535732e-05,1
3,55,2.5914601792464964e-05,1
3,56,2.6937397706205957e-05,1
3,57,2.8400374503689818e-05,1
3,58,2.9575965527328663e-05,1
3,59,3.110318721155636e-05,1
3,60,3.1746458262205124e-05,1
3,61,3.270472734584473e-05,1
3,62,3.358328467584215e-05,1
3,63,3.376877793925814e-05,1
3,64,3.467814531177282e-05,1
3,65,3.481181192910299e-05,1
3,66,3.479875158518553e-05,1
3,67,3.503742118482478e-05,1
3,68,3.5648830817081034e-05,1
3,69,3.6174456909066066e-05,1
3,70,3.6239918699720874e-05,1
3,71,3.646471304818988e-05,1
3,72,3.664274117909372e-05,1
3,73,3.6964516766602173e-05,1
3,74,3.600615309551358e-05,1
3,75,3.5642962757265195e-05,1
3,76,3.580317570595071e-05,1
3,77,3.5939912777394056e-05,1
3,78,3.595211455831304e-05,1
3,79,3.550791007000953e-05,1
3,80,3.474095501587726e-05,1
3,81,3.403939990676008e-05,1
3,82,3.314214700367302e-05,1
3,83,3.272249523433857e-05,1
3,84,3.2708812796045095e-05,1
3,85,3.268110958742909e-05,1
3,86,3.259472214267589e-05,1
3,87,3.276193092460744e-05,1
